69,28,10000000000
69,264,33483999999
69,199,75050000000
69,50,235840000000
321,160,681606
321,325,11363081
321,85,8179910
321,366,23608504
321,340,286001
321,118,3530281
321,32,667466
321,297,8197341
321,258,95810379
321,216,6508602
321,250,198719981
321,239,667037499
321,171,23540936
321,263,11541845
321,168,35692489
321,151,350976
321,248,6186940
321,360,6405495
321,187,6410725
321,12,1281218
321,238,1665490
321,364,3447100
321,372,587303
321,66,4686638
321,185,20918482
321,196,6571000
321,208,4194101
321,71,3539883
321,127,36588804
321,362,2604858
321,198,14856736
321,141,48420
321,249,7273702
321,50,80292214000
321,124,33719942
321,262,2427075
321,55,7933176
321,345,3549106
321,207,56691432
321,310,5136631
321,285,58837453
321,8,2005444
321,202,52719
321,234,2958357
321,43,23910779
321,25,10397730
321,251,50531
321,338,5715053
321,195,185012000
321,190,20725155
321,133,2984804
321,93,16894095
321,218,2230902
321,114,24728
321,110,3447412
321,326,4479026
321,279,11924429
321,304,4806342
321,3,28419270
321,189,1719151
321,167,24653000
321,46,119269632
321,352,9398301
321,49,504296
321,179,166731
321,182,1331795
321,135,7336316
321,79,8291577
321,241,1274751
321,290,13220551
321,145,5159670
321,15,372200
321,264,1182518000
321,54,61737
321,22,10620
321,59,31278894
321,82,4537574
321,29,4807664
321,222,117160074
321,344,1214476
321,45,2948712
321,17,843040
321,355,187310816
321,132,14665981
321,24,110071941
321,103,5139449
321,157,20678178
321,274,5302301
321,342,2187907
321,104,19322905
321,161,4234219
321,242,12816431
321,6,9907203
321,144,174840
321,327,580245320
321,318,1634089
321,52,457122
321,172,10088
321,226,962456
321,146,237426502
321,83,492650
321,180,6004637
321,87,31895050
321,311,35050
321,80,405649
321,26,208960
321,320,11646134
321,324,134550252
321,329,16246870
321,271,64083033
321,76,5253052
321,228,6881154
321,268,8307648
321,177,13306667
321,365,1265327
321,206,3518703
321,306,1625565
321,278,344593
321,173,6925402
321,150,19243630
321,116,5093882
321,35,985367
321,199,122410818000
321,156,244871173
321,183,15137732
321,302,6376043
321,265,2963115
321,261,10547696
321,181,7488153
321,125,11577960
321,332,27043019
321,23,124492312
321,11,11915264
321,276,901605
321,38,10156
321,294,1132131
321,245,152952353
321,97,34996
321,28,447424174
321,9,893744
321,229,11503
321,176,6550000
321,115,2516808
321,303,2831010
321,283,184990945
321,155,100955266
321,169,11574994
321,308,23419479
321,153,21128
321,319,4438865
321,1,3627132
321,10,4193170
321,197,69832200
321,75,13789195
321,30,7432028
321,41,3849500
321,62,2388417
321,18,129729999
321,272,10333929
321,254,308221171
321,192,7536898
321,2,16001302
321,280,2218645
321,315,2257619
321,298,23323578
321,257,659282000
321,37,12780289
321,347,9886000
321,40,475384
321,221,1364000
321,270,41391
321,367,81958
321,84,248790
321,61,89357
321,356,56802635
321,184,4940874
321,102,9957073
321,236,2735681
321,98,22112
321,295,25754834
321,322,1747113
321,60,2897590
321,89,3456454
321,219,198036239
321,149,590885
321,231,2518559
321,314,42532
321,117,68057368
321,348,48812
321,138,10867033
321,281,10589900
321,201,313347
321,73,653152
321,346,15993310
321,260,6454250
321,247,424772
321,68,17834050
321,351,10169
321,350,193629127
321,53,255253
321,47,587424
321,77,2264327
321,188,9489161
321,175,38145841
321,204,10142603
